athlete_id,sex,age,height_cm,weight_kg,decision_ms,attention,upper_watts,grip_kg,plank_sec,agility_ms,years_exp,exp_dinghy,exp_keel,starts,penalties,score_basustu,score_direkdibi,score_piyano,score_trim1,score_trim2,score_anayelken,score_dumen,label_basustu,label_direkdibi,label_piyano,label_trim1,label_trim2,label_anayelken,label_dumen
A001,M,34,167,95,604,0.78,410,55,118,4738,3,1,1,29,3,0.5072863838037456,0.5507580346773462,0.36549788648524606,0.4052753864151113,0.435761552185151,0.3379444033678846,0.3142646090693717,0,0,0,0,0,0,0
A002,F,21,185,54,567,0.61,420,36,120,5363,0,1,0,32,1,0.24418954702478163,0.40839154643012976,0.1728842293068477,0.1618707224023433,0.16173644630338313,0.22505087351928912,0.18715053366471568,0,0,0,0,0,0,0
A003,F,20,175,86,517,0.61,612,24,66,5301,4,1,1,75,0,0.2054712172222804,0.5891243584199399,0.3894650241323092,0.32761471482806037,0.32154300328494306,0.572422630196005,0.42045373651687723,0,0,0,0,0,0,0
A004,M,23,189,89,560,0.82,350,30,101,4613,5,0,0,60,3,0.5646394444376681,0.26426482256355854,0.5379290758923428,0.544224574489886,0.5722395109080021,0.38073200579427424,0.48891151757902696,0,0,0,0,0,0,0
A005,M,35,172,89,540,0.83,480,47,150,4842,7,1,0,72,0,0.6173552847714104,0.6670159778415258,0.6818052000862768,0.6434650630043922,0.6591832113277302,0.6339215760166786,0.6363516049934065,1,1,1,1,1,1,1
A006,F,35,162,91,429,0.91,559,31,125,5578,0,1,1,9,1,0.4421548606661159,0.5721523676358417,0.5853127625850255,0.5332903251797738,0.5016741220946701,0.6476667844183284,0.5519829133895541,0,0,0,0,0,1,0
A007,M,20,160,59,323,0.88,415,51,158,5420,2,1,0,49,2,0.5735945926854095,0.5254025470533685,0.7285164126122587,0.6456575227809283,0.6024922677348206,0.5852079223610455,0.7400130684040942,0,0,1,1,1,0,1
A008,M,31,160,64,449,0.75,598,38,105,5253,6,1,1,16,6,0.35819835215875795,0.6104134014637712,0.46971648122633775,0.47135029968625797,0.4557838166740371,0.6410240181218216,0.4796976686639363,0,1,0,0,0,1,0
A009,M,28,169,70,383,0.8,360,46,118,4935,8,1,0,21,0,0.5940453156703138,0.44011876364217084,0.7363446842772979,0.7607040075373847,0.7465323224050148,0.6219006272473685,0.7527744503589685,0,0,1,1,1,1,1
A010,F,26,169,83,604,0.75,548,32,107,5449,7,1,1,53,2,0.25586442969511247,0.540941171156169,0.48178448567116816,0.4104315957658712,0.41312260907307097,0.5776418919951899,0.43992620822599693,0,0,0,0,0,0,0
A011,F,18,172,71,414,0.67,570,52,178,4368,5,1,0,42,3,0.7512644276823909,0.854382412706918,0.47161583067595214,0.554406538981615,0.5675845548332044,0.6106682662226706,0.5183027036541156,1,1,0,0,0,1,0
A012,M,21,170,71,557,0.72,400,33,136,5531,6,1,0,57,3,0.27586719892815625,0.3219330826780704,0.45200838338102045,0.3703206998618487,0.3619465519985349,0.39660855796318845,0.43524416945165034,0,0,0,0,0,0,0
A013,F,21,165,58,334,0.63,431,46,127,4505,7,0,0,31,6,0.6121115556466947,0.4907837061588344,0.47989059805688994,0.5677289311764235,0.5621732739295657,0.49637175281072543,0.5658333238387108,1,0,0,0,0,0,0
A014,F,19,163,75,485,0.81,337,47,151,4743,7,1,1,54,2,0.6484371954642277,0.4218938120176885,0.6482591645762877,0.6489789851158952,0.6593700201269691,0.47795973216802834,0.6274502182932561,1,0,1,1,1,0,1
A015,F,25,165,62,561,0.66,444,34,82,4817,2,1,0,80,4,0.3598012057194027,0.39071254407785183,0.2974533164100309,0.2777968465423682,0.29800402658727804,0.28497178559661507,0.29810130977993105,0,0,0,0,0,0,0
A016,M,24,165,67,496,0.75,599,51,174,4674,1,0,0,20,1,0.6743145439857794,0.8975169974120675,0.3941575611039947,0.4582905871374192,0.473218506890693,0.5689466216269656,0.3884196849964954,1,1,0,0,0,0,0
