athlete_id,sex,age,height_cm,weight_kg,upper_watts,grip_kg,plank_sec,agility_ms,decision_ms,attention,years_exp,basustu,direkdibi,piyano,trim1,trim2,anayelken,dumen
A001,M,18,185,80,360,42,123,612,475,93,3,1,0,0,0,0,0,0
A002,F,18,185,68,556,36,101,1016,341,52,3,0,0,0,0,0,1,0
A003,F,36,161,69,434,65,102,787,416,71,3,1,0,0,0,0,0,0
A004,M,19,165,57,451,45,107,967,287,55,4,0,0,0,0,1,1,0
A005,M,38,180,69,440,45,128,851,386,51,1,1,0,0,0,0,0,0
A006,M,29,180,66,413,44,100,868,286,72,3,0,0,1,0,0,0,0
A007,M,23,180,73,504,46,170,885,312,93,7,1,0,1,1,1,1,1
A008,F,21,213,60,416,43,84,867,464,51,3,0,0,0,0,0,0,0
A009,F,28,180,76,527,40,112,896,338,87,5,1,0,1,1,1,1,1
A010,F,34,186,88,494,40,102,999,363,66,2,0,0,0,0,0,0,0
A011,M,23,184,68,476,44,177,829,402,84,3,1,0,0,0,0,1,0
A012,F,22,181,74,409,40,127,906,379,83,1,0,0,1,0,0,0,0
A013,F,37,171,78,442,39,161,786,359,72,5,1,0,1,1,1,0,1
A014,M,19,182,65,575,45,60,1016,371,79,4,0,1,1,1,0,1,0
A015,M,23,167,72,550,42,130,698,494,57,3,1,0,0,0,0,1,0
A016,M,39,172,70,402,57,155,1070,346,71,7,0,0,1,1,0,0,1
A017,M,28,170,71,509,23,123,793,362,93,4,1,0,1,1,1,1,0
A018,M,33,175,60,575,53,162,585,413,85,7,1,1,0,1,1,1,0
A019,M,33,198,70,333,54,99,819,416,54,5,0,0,0,0,1,0,0
A020,M,18,156,75,554,28,176,697,421,62,2,1,0,0,0,0,0,0
A021,F,26,181,87,433,42,211,926,388,78,1,0,0,1,0,0,0,0
A022,M,23,158,81,557,42,105,702,281,80,6,1,1,1,1,1,1,1
A023,M,33,170,95,423,33,102,733,448,96,2,1,0,0,0,0,0,0
A024,M,20,185,60,319,38,178,516,281,65,3,1,0,0,0,0,0,0
A025,M,37,175,80,337,36,183,732,368,91,3,1,0,1,0,0,0,0
A026,F,21,164,72,504,59,99,500,304,79,3,0,0,1,0,0,1,0
A027,M,36,167,96,525,52,103,562,346,65,4,1,0,0,0,1,1,0
A028,M,20,181,60,409,55,108,914,369,61,9,0,0,0,0,1,0,1
A029,M,36,167,59,563,50,66,917,369,66,4,0,1,0,1,1,1,0
A030,M,37,177,62,333,35,83,863,375,65,4,0,0,0,0,1,0,0
A031,F,24,175,44,493,40,79,654,446,61,7,0,0,0,0,1,1,0
A032,M,37,168,63,378,48,89,792,377,57,7,0,0,0,0,1,0,0
A033,M,26,196,60,434,35,118,799,335,69,4,1,0,0,1,1,0,0
A034,F,18,181,71,504,50,129,626,407,52,3,1,0,0,0,0,1,0
A035,F,25,154,74,413,43,182,1025,421,65,6,0,0,0,0,0,0,0
A036,F,24,176,92,461,42,80,931,276,79,6,0,0,1,1,1,1,1
A037,M,35,168,81,600,50,159,766,385,94,0,1,1,1,0,0,0,0
A038,M,25,183,63,442,48,111,804,392,72,3,1,0,1,0,0,0,0
A039,F,18,167,59,583,42,118,831,332,77,5,1,1,1,1,1,1,1
A040,M,28,173,75,387,54,146,500,432,100,4,1,0,0,1,1,0,0
A041,M,35,180,54,552,36,75,762,340,89,3,0,0,1,0,0,1,0
A042,M,27,183,91,644,49,135,697,357,54,3,1,1,0,0,0,1,0
A043,M,20,162,84,252,49,126,649,339,69,7,1,0,0,1,1,0,1
A044,F,24,171,64,420,42,139,757,350,89,3,1,0,1,0,0,0,0
A045,M,33,170,49,557,47,131,1069,284,93,3,0,1,1,0,0,1,0
A046,F,33,168,86,479,34,218,896,263,50,3,1,0,0,0,0,1,0
A047,M,37,192,68,537,52,94,714,445,79,6,0,0,0,1,1,1,0
A048,M,34,179,84,439,43,98,885,299,70,3,0,0,0,0,0,0,0
A049,M,19,162,50,508,40,95,1009,290,69,6,0,0,0,1,0,1,1
A050,M,18,184,62,484,53,97,938,220,55,2,0,0,0,0,0,0,0
A051,F,33,196,70,616,39,94,808,311,71,7,0,0,1,1,1,1,1
A052,F,29,185,70,525,33,167,702,270,67,4,1,0,0,1,1,1,0
A053,F,22,159,64,533,32,176,904,448,57,4,0,0,0,0,1,1,0
A054,F,22,170,77,458,49,97,859,410,88,1,0,0,0,0,0,0,0
A055,M,26,187,57,451,34,86,934,308,81,5,0,0,1,1,1,1,1
A056,F,26,167,68,456,59,138,895,485,82,6,1,0,0,1,1,1,0
A057,M,20,179,71,539,28,97,957,408,65,1,0,0,0,0,0,0,0
A058,M,36,182,76,457,58,145,719,330,61,5,1,0,0,0,1,1,1
A059,M,33,165,78,528,46,128,997,200,87,5,0,0,1,1,1,1,1
A060,M,33,174,56,707,44,59,829,487,83,1,0,1,0,0,0,0,0
A061,M,20,142,51,587,40,181,1111,266,63,3,0,0,0,0,0,1,0
A062,M,37,164,85,467,48,191,696,251,85,4,1,0,1,1,1,1,0
A063,F,39,172,73,620,44,95,1060,411,82,1,0,1,0,0,0,0,0
A064,M,18,162,61,459,53,104,829,496,72,2,1,0,0,0,0,0,0
A065,M,37,191,88,296,45,131,702,433,99,4,1,0,0,1,1,0,0
A066,M,28,160,71,399,46,133,727,383,94,4,1,0,1,1,1,0,0
A067,M,34,170,84,312,42,146,751,385,51,5,1,0,0,0,1,0,0
A068,F,25,176,70,464,44,200,863,401,90,5,1,0,0,1,1,1,0
A069,M,21,189,94,501,47,112,878,395,70,1,1,0,0,0,0,0,0
A070,F,23,160,91,667,31,88,713,366,51,4,0,0,0,0,1,1,0
A071,F,25,186,67,532,34,64,796,356,76,3,0,0,1,0,0,1,0
A072,M,37,175,81,478,50,90,1121,346,58,3,0,0,0,0,0,1,0
A073,M,20,165,77,582,46,118,1059,304,50,6,0,1,0,0,0,1,0
A074,F,33,179,86,278,43,191,865,333,60,3,1,0,0,0,0,0,0
A075,F,20,176,58,523,45,99,805,248,52,3,0,0,0,0,0,1,0
A076,F,35,168,78,577,47,128,818,344,72,2,1,1,1,0,0,0,0
A077,F,31,175,82,352,40,119,892,290,75,6,1,0,1,1,1,0,1
A078,M,35,171,48,614,38,167,646,283,53,4,1,0,0,0,1,1,0
A079,M,19,176,55,533,46,221,761,360,67,3,1,0,0,0,0,1,0
A080,M,39,181,45,458,37,98,549,433,55,4,0,0,0,0,1,1,0
A081,F,20,190,66,563,48,100,859,405,84,5,0,1,0,1,1,1,0
A082,F,33,162,78,727,31,161,897,255,71,6,1,0,1,1,1,1,1
A083,M,26,196,88,518,53,147,727,290,92,7,1,0,1,1,1,1,1
A084,M,21,155,70,524,48,193,1036,406,64,4,0,0,0,0,0,1,0
A085,M,18,173,89,454,47,143,616,291,71,4,1,0,1,1,1,1,0
A086,M,21,180,53,415,52,105,580,336,86,6,1,0,1,1,1,0,1
A087,F,18,177,49,583,58,143,833,383,91,3,1,1,1,0,0,1,0
A088,F,31,168,69,414,53,164,957,291,61,4,0,0,0,0,1,0,0
A089,F,38,172,74,507,30,152,1052,356,96,6,0,0,1,1,0,1,1
A090,M,33,170,69,452,34,140,731,269,98,6,1,0,1,1,1,1,1
A091,M,37,169,45,547,40,162,961,313,91,3,0,0,1,0,0,1,0
A092,F,25,183,68,533,45,166,794,369,87,2,1,0,1,0,0,0,0
A093,F,24,178,54,603,49,175,774,254,67,8,1,1,0,1,1,1,1
A094,M,20,168,78,448,39,145,932,376,94,4,0,0,1,1,1,0,0
A095,F,34,183,74,473,46,113,897,348,84,4,1,0,1,1,1,1,0
A096,M,18,178,58,402,38,125,563,383,79,4,1,0,1,1,1,0,0
A097,M,33,183,63,455,40,168,1021,363,73,1,0,0,1,0,0,0,0
A098,M,29,181,57,537,33,87,1007,431,91,10,0,0,0,1,0,1,0
A099,M,36,166,69,575,37,134,706,357,79,6,1,0,1,1,1,1,1
A100,M,39,169,81,407,34,104,859,324,63,1,1,0,0,0,0,0,0
A101,M,39,182,58,586,37,121,874,357,55,8,1,0,0,0,1,1,0
A102,F,31,181,76,635,53,171,839,382,52,6,1,1,0,0,1,1,0
A103,M,23,174,63,541,37,127,717,352,65,3,1,0,0,0,0,1,0
A104,M,23,176,60,687,66,121,699,352,56,0,1,1,0,0,0,0,0
A105,F,30,187,68,422,48,65,796,307,63,4,0,0,0,0,1,0,0
A106,M,36,169,57,375,46,149,975,310,58,5,0,0,0,0,1,0,0
A107,M,39,180,63,322,38,145,881,265,64,2,1,0,0,0,0,0,0
A108,F,25,172,55,649,50,206,744,454,70,2,1,1,0,0,0,0,0
A109,M,19,172,93,565,40,107,915,275,84,4,0,0,1,1,1,1,0
A110,M,38,185,70,494,45,128,500,308,51,3,1,0,0,0,0,1,0
A111,M,18,183,61,527,65,129,972,306,76,7,0,0,1,1,1,1,1
A112,M,32,183,72,387,44,183,539,403,51,7,1,0,0,0,1,0,0
A113,F,18,188,68,744,54,116,745,332,84,3,1,1,1,0,0,1,0
A114,F,22,175,67,512,39,131,632,424,67,7,1,0,0,1,1,1,0
A115,F,33,181,77,510,44,144,605,309,63,1,1,0,0,0,0,0,0
A116,F,36,171,79,572,59,127,974,366,69,2,0,1,0,0,0,0,0
A117,F,21,178,63,548,39,102,729,299,67,3,1,0,0,0,0,1,0
A118,M,20,173,63,522,59,127,851,478,59,3,1,0,0,0,0,1,0
A119,F,34,175,66,420,50,162,792,278,74,2,1,0,1,0,0,0,0
A120,M,34,180,42,547,40,78,871,368,51,0,0,0,0,0,0,0,0
A121,F,29,166,51,688,50,125,811,388,74,1,1,1,1,0,0,0,0
A122,F,31,195,86,634,52,91,607,374,82,3,0,1,1,0,0,1,0
A123,M,38,164,89,659,49,167,949,338,85,4,0,1,1,1,1,1,0
A124,M,23,162,67,448,32,59,725,342,80,3,0,0,1,0,0,0,0
A125,M,20,186,76,401,39,97,566,352,63,5,0,0,0,0,1,0,1
A126,M,26,182,73,487,43,135,735,341,50,6,1,0,0,0,1,1,0
A127,F,22,181,106,505,44,182,1025,407,95,3,0,0,0,0,0,1,0
A128,F,34,181,83,609,49,117,927,482,65,2,0,1,0,0,0,0,0
A129,M,31,174,68,330,46,97,747,316,95,3,0,0,1,0,0,0,0
A130,M,38,166,58,652,34,195,747,267,52,3,1,0,0,0,0,1,0
A131,M,20,175,50,484,48,62,751,344,84,3,0,0,1,0,0,1,0
A132,M,18,168,72,457,49,32,1111,504,90,6,0,0,0,1,0,1,0
A133,M,37,184,60,398,49,137,857,301,55,7,1,0,0,0,1,0,0
