athlete_id,sex,age,height_cm,weight_kg,decision_ms,attention,upper_watts,grip_kg,plank_sec,agility_ms,years_exp,exp_dinghy,exp_keel,starts,penalties,label_basustu,label_direkdibi,label_piyano,label_trim1,label_trim2,label_anayelken,label_dumen
SYN001,F,23,188,55,605,0.68,379,25,94,4592,5,0,1,17,0,0,0,0,1,0,0,0
SYN002,F,29,175,58,367,0.87,464,33,171,4399,5,0,1,61,4,0,0,1,1,1,1,1
SYN003,M,35,185,64,611,0.68,543,55,98,4961,3,1,1,42,2,0,0,0,0,0,0,0
SYN004,M,28,186,69,373,0.82,577,27,88,5310,7,0,0,56,5,0,0,1,1,1,1,1
SYN005,F,28,186,53,477,0.81,515,28,90,5259,1,1,1,10,6,0,0,0,0,0,0,0
SYN006,M,35,162,75,396,0.86,429,34,87,4380,0,0,1,58,3,1,0,0,1,1,0,0
SYN007,M,29,161,75,371,0.64,347,52,178,4942,0,0,1,48,6,0,0,0,0,0,0,0
SYN008,M,19,187,59,403,0.91,336,39,137,4558,4,1,0,35,3,1,0,1,1,1,0,1
SYN009,M,28,178,63,337,0.9,434,26,165,5184,5,0,1,77,4,0,0,1,1,1,1,1
SYN010,M,35,163,81,451,0.64,521,46,134,5076,8,0,1,25,3,0,1,0,0,0,1,0
SYN011,F,32,163,56,564,0.81,353,28,151,5587,4,0,0,39,5,0,0,0,0,0,0,0
SYN012,M,24,162,60,502,0.78,425,41,119,4748,0,0,1,69,3,0,0,0,0,0,1,0
SYN013,M,21,170,65,562,0.63,555,46,101,4518,7,0,1,28,1,0,0,0,0,0,0,0
SYN014,F,26,179,58,470,0.83,591,48,163,4789,1,0,1,49,3,1,1,0,0,0,0,0
SYN015,F,30,163,94,389,0.65,608,28,161,5116,3,0,1,68,6,0,0,0,0,0,0,0
SYN016,F,27,172,91,384,0.86,553,30,106,4775,6,1,0,66,1,1,0,1,1,0,1,1
SYN017,M,29,164,94,390,0.69,405,46,130,4540,5,0,1,39,6,1,0,0,1,1,0,0
SYN018,F,32,161,76,512,0.69,489,35,101,5172,1,1,1,43,5,0,0,1,1,0,0,0
SYN019,M,34,166,54,369,0.65,464,41,93,5577,6,0,0,76,2,0,0,0,0,0,0,0
SYN020,M,35,165,92,458,0.84,391,37,133,4772,2,0,1,71,5,0,0,0,1,1,0,0
SYN021,M,32,185,50,376,0.8,603,45,178,4656,2,1,0,75,0,1,1,0,1,1,1,0
SYN022,M,30,171,55,426,0.65,498,43,132,5386,0,1,1,48,1,0,1,0,0,0,1,0
SYN023,F,32,175,79,619,0.66,494,47,86,5224,7,0,0,5,2,0,0,0,0,0,0,0
SYN024,F,30,177,74,345,0.83,499,51,152,4614,5,0,0,27,1,0,1,1,1,1,1,1
SYN025,F,34,162,62,429,0.92,439,42,133,4679,3,1,0,39,0,1,0,1,1,1,1,1
SYN026,F,24,162,70,356,0.61,448,54,109,4757,0,0,0,31,2,0,1,0,0,0,0,0
SYN027,F,22,179,71,383,0.89,380,50,83,5197,5,0,1,18,6,0,0,1,1,1,1,0
SYN028,M,21,184,66,351,0.61,562,50,134,5457,7,0,1,68,5,0,1,1,0,0,1,1
SYN029,F,29,176,55,571,0.61,578,52,83,4899,7,0,1,20,2,0,0,0,0,0,0,0
SYN030,M,29,176,51,463,0.91,403,27,111,5473,1,0,0,51,4,0,0,0,0,0,0,0
SYN031,F,32,185,55,359,0.91,568,30,130,4563,4,0,1,58,3,1,0,1,1,1,1,1
SYN032,M,25,165,78,506,0.75,590,40,126,5417,1,1,0,64,5,0,1,0,0,0,0,0
SYN033,M,34,176,86,488,0.63,347,42,104,4585,3,1,1,17,2,0,0,1,0,0,0,0
SYN034,F,29,183,93,503,0.63,605,49,63,4546,0,0,0,11,2,0,0,0,0,0,0,0
SYN035,F,22,176,88,599,0.68,390,43,164,5467,8,1,1,11,5,0,0,0,0,0,0,0
SYN036,M,24,165,65,617,0.84,544,38,141,5010,5,1,0,57,0,1,1,0,0,0,0,0
SYN037,F,32,173,67,589,0.79,373,42,74,4789,1,1,0,48,3,0,1,0,0,0,0,0
SYN038,M,30,189,88,498,0.76,478,49,153,4670,3,1,1,15,6,0,1,0,0,0,0,0
SYN039,F,34,162,52,354,0.91,552,32,161,4604,7,1,1,13,5,0,0,1,1,1,1,0
SYN040,M,33,190,81,330,0.87,368,23,165,5401,8,1,0,29,4,0,0,1,1,1,1,0
SYN041,M,22,184,68,388,0.67,506,32,87,4644,5,1,1,52,2,0,0,0,1,1,0,0
SYN042,F,33,164,59,466,0.66,476,35,160,4763,7,1,1,14,2,0,0,0,1,1,0,0
SYN043,F,25,166,87,525,0.92,579,26,118,5037,5,0,1,28,3,1,1,1,1,1,1,1
SYN044,M,33,168,63,339,0.68,378,45,127,5088,7,1,0,71,5,0,0,1,1,1,0,1
SYN045,F,34,185,61,618,0.78,611,36,145,5321,5,0,1,45,5,0,1,0,0,0,0,1
SYN046,M,35,180,95,340,0.63,338,51,84,4527,2,0,1,33,1,0,0,0,0,1,0,0
SYN047,F,20,167,78,505,0.87,487,55,134,4662,0,1,0,78,0,1,1,0,0,0,0,0
SYN048,M,25,185,93,419,0.85,357,31,90,4660,5,1,1,28,4,0,0,1,1,1,0,1
SYN049,F,32,165,60,598,0.68,458,49,69,5448,1,1,0,38,6,0,0,0,0,0,0,0
SYN050,F,29,178,83,358,0.9,528,49,60,5159,8,1,0,15,3,0,0,1,1,1,1,0
